source_id,source_name,owner,direct_url,content_type,planned_use,access_status,license_or_terms,operational_risk,corpus_decision,rationale,verified_date
SRC-001,NRC Pressurized Water Reactors overview,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/reactors/power/pwrs,Public education HTML,High-level concept and terminology review,Public without account,"NRC site is generally a U.S. Government work; third-party exceptions apply",Moderate,REFERENCE_ONLY,"Useful broad civilian framing; do not ingest prose or adapt real values",2026-08-18
SRC-002,NRC Reactor Concepts Manual PWR Systems,U.S. Nuclear Regulatory Commission,https://ww2.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/basic-ref/students/for-educators/04.pdf,Educational PDF,Researcher background only,Public PDF,"NRC site reuse terms apply; check embedded third-party material",High,REFERENCE_ONLY,"Contains far more real system detail than the corpus requires",2026-08-18
SRC-003,NRC Glossary,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/reading-rm/basic-ref/glossary,Terminology HTML,Manually screened isolated vocabulary seed,Public without account,"NRC site is generally a U.S. Government work; credit requested",Moderate,ADOPT_CONSTRAINED,"Use isolated high-level terms only; do not scrape definitions examples or links",2026-08-18
SRC-004,NRC Site Disclaimer,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/site-help/disclaimer,Reuse-policy HTML,Licensing and attribution evidence,Public without account,"NRC website is described as a U.S. Government work; copyrighted third-party material is excluded",Low,REFERENCE_ONLY,"Documents reuse boundary but is not corpus content",2026-08-18
SRC-005,NRC Data Catalog,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/data/index,Dataset catalog,Inventory and exclusion research,Public without account,"NRC terms apply with third-party caveat",High,REJECT_INGESTION,"Real plant performance and event data are unnecessary for a fictional model",2026-08-18
SRC-006,NRC Event Notification Reports,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/reading-rm/doc-collections/event-status/event/index,Real event narratives,Research landscape only,Public search and archives,"NRC terms apply but reports may include licensee or third-party content",Very high,REJECT_INGESTION,"Real sequences corrective actions identifiers and operational details conflict with project boundary",2026-08-18
SRC-007,NRC raw recent event report dataset,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/sites/default/files/doc_library/reading-rm/doc-collections/event-status/event/event-notification-rpt-lastmonth.txt,Pipe-delimited real event text,Exclusion validation only,Public raw text,"NRC terms plus possible submitted third-party content",Very high,REJECT_INGESTION,"Observed records include names contact details facility identifiers technical values and corrective recommendations",2026-08-18
SRC-008,IAEA Integral PWR Simulator Manual,International Atomic Energy Agency,https://www-pub.iaea.org/MTCD/Publications/PDF/TCS-65-Handbook_web.pdf,Educational simulator handbook,High-level simulator-design precedent,Public PDF,"Publication terms not treated as permission for corpus ingestion",High,REFERENCE_ONLY,"Useful evidence that educational simulators are simplified; do not copy content or parameters",2026-08-18
SRC-009,IAEA Basic Principle Simulator software,International Atomic Energy Agency,https://www.iaea.org/sites/default/files/18/05/simulator-request-form.pdf,Restricted educational software and documentation,Terms assessment,Account request and official approval required,"Ownership retained; redistribution outside organization prohibited; other use restrictions stated",Very high,REJECT,"Do not request download redistribute or use as training/simulation source",2026-08-18
SRC-010,ORNL TRANSFORM Library,Oak Ridge National Laboratory,https://github.com/ORNL-Modelica/TRANSFORM-Library,Modelica multiphysics library,Architecture precedent only,Public GitHub repository,Apache-2.0 for TRANSFORM with dependency caveats,High,REFERENCE_ONLY,"Too detailed and tool-heavy for the intended fictional physics-lite simulator; requires Dymola in documented path",2026-08-18
SRC-011,INL RAVEN,Idaho National Laboratory,https://github.com/idaholab/raven,Risk and uncertainty framework,Experiment-design precedent only,Public GitHub repository,"Apache-2.0 for RAVEN; third-party directories have separate licenses",High,REFERENCE_ONLY,"Useful precedent for sampling and uncertainty; not needed as dependency or corpus",2026-08-18
SRC-012,INL DIAMOND ontology,Idaho National Laboratory,https://github.com/idaholab/DIAMOND,Nuclear-domain ontology,Ontology-design precedent only,Public GitHub repository,BSD-3-Clause,High,REFERENCE_ONLY,"Alpha ontology and real-domain specificity make direct ingestion unnecessary",2026-08-18
SRC-013,INL NDMAS,Idaho National Laboratory,https://inl.gov/ndmas/,Real nuclear research data portal,Access and exclusion research,Permission per project required,"No blanket public dataset license established",Very high,REJECT,"Contains real experimental or operational data and requires permission",2026-08-18
SRC-014,UCI AI4I 2020 Predictive Maintenance Dataset,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/601/ai4i%2B2020%2Bpredictive%2Bmaintenance%2Bdataset,Synthetic industrial table,Schema and class-balance precedent only,Public download,CC BY 4.0,Low,REFERENCE_ONLY,"Do not copy rows thresholds or failure equations; use only as evidence for synthetic-data methodology",2026-08-18
SRC-015,NASA C-MAPSS catalog record,NASA and Data.gov,https://catalog.data.gov/dataset/c-mapss-aircraft-engine-simulator-data,Simulated engine data,Source assessment only,Download currently unavailable pending review,"No usable dataset rights established in catalog",Moderate,REJECT,"Unavailable and not necessary; do not use unofficial mirrors",2026-08-18
SRC-016,Tennessee Eastman Process benchmark,Downs and Vogel,https://doi.org/10.1016/0098-1354(93)80018-I,Industrial process benchmark,Historical research context,Publisher access,"No verified permissive dataset license from the original source",Moderate,REJECT,"Real-process ancestry and unclear dataset rights add no necessary value",2026-08-18
SRC-017,Attention Is All You Need,Vaswani et al.,https://arxiv.org/abs/1706.03762,Research paper,Transformer architecture foundation,Public paper,Paper citation use,Low,REFERENCE_ONLY,"Architecture and citation source; no training data",2026-08-18
SRC-018,TinyStories,Eldan and Li / Microsoft Research,https://www.microsoft.com/en-us/research/publication/tinystories-how-small-can-language-models-be-and-still-speak-coherent-english/,Research paper and synthetic-dataset precedent,Small-domain-model precedent,Public paper,Paper citation use,Low,REFERENCE_ONLY,"Supports feasibility of simplified language domains but its stories are not project data",2026-08-18
SRC-019,Training Compute-Optimal Large Language Models,Hoffmann et al. / DeepMind,https://arxiv.org/abs/2203.15556,Research paper,Scaling intuition,Public paper,Paper citation use,Low,REFERENCE_ONLY,"Large-scale findings are a heuristic not a guaranteed small-model recipe",2026-08-18
SRC-020,SentencePiece,Kudo and Richardson / Google,https://aclanthology.org/D18-2012/,Research paper and tokenizer implementation,Recommended tokenizer dependency,Public paper and repository,Apache-2.0 implementation,Low,ADOPT_TOOL,"Train tokenizer only on project corpus; optional custom BPE remains an extension",2026-08-18
SRC-021,Compositional Capabilities of Autoregressive Transformers,Ramesh et al.,https://arxiv.org/abs/2311.12997,Research paper,Split and experiment design,Public paper,Paper citation use,Low,REFERENCE_ONLY,"Motivates compositional holdouts and intermediate evidence experiments",2026-08-18
SRC-022,PyTorch MPS backend documentation,PyTorch Foundation,https://docs.pytorch.org/docs/stable/notes/mps.html,Official technical documentation,Local compute planning,Public documentation,Documentation and software license terms,Low,ADOPT_TOOL,"Supports Apple-silicon GPU training; exact operation support must be tested",2026-08-18
SRC-023,NRC AI Strategic Plan NUREG-2261,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr2261/index,Government strategy report,Governance and framing reference,Public PDF/HTML,NRC site reuse terms apply,Low,REFERENCE_ONLY,"Supports responsible phased evaluation framing; no corpus use",2026-08-18
SRC-024,NRC Enterprisewide AI Strategy,U.S. Nuclear Regulatory Commission,https://www.nrc.gov/ai/enterprise-wide-strategy,Current government AI strategy,Governance and human-judgment framing,Public HTML,NRC site reuse terms apply,Low,REFERENCE_ONLY,"Current official source emphasizing safeguards oversight and human judgment",2026-08-18
SRC-025,IAEA Considerations for Deploying AI in Nuclear Power Industry,International Atomic Energy Agency,https://www-pub.iaea.org/MTCD/publications/PDF/p15866-PUB2119_web.pdf,2025 guidance publication,Research landscape and risk reference,Public PDF,IAEA publication terms apply,Moderate,REFERENCE_ONLY,"Documents data quality explainability governance and acceptance issues; project remains non-deployment",2026-08-18
SRC-026,INL AI analysis of operator logs,Idaho National Laboratory and OSTI,https://www.osti.gov/biblio/2583138,2025 research article,Prior-work comparison,Public metadata/preprint access,Publication-specific rights apply,High,REFERENCE_ONLY,"Shows adjacent real-log NLP research; do not use its data or operator-log content",2026-08-18
SRC-027,Early simulator-based ANN nuclear status diagnostics,DOE/OSTI,https://www.osti.gov/biblio/10104399,1991 conference record,Historical prior work,Public metadata,Publication-specific rights apply,High,REFERENCE_ONLY,"Establishes long-standing fault-diagnosis precedent; no data available or adopted",2026-08-18
SRC-028,NIST AI RMF Core,NIST,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,Government risk framework,Evaluation documentation and limits,Public HTML,Government publication terms,Low,ADOPT_GOVERNANCE,"Use for TEVV documentation uncertainty benchmark and generalizability practices",2026-08-18
